"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","access -3.33066907387547e-16","alert -3.33066907387547e-16","amid -3.33066907387547e-16","anthony -3.33066907387547e-16","australia -3.33066907387547e-16","ban -3.33066907387547e-16","become -3.33066907387547e-16","begin -3.33066907387547e-16","capability -3.33066907387547e-16","care -3.33066907387547e-16"
"2","coronavirus -0.00307888083030317","concern -0.00225508778322481","state -0.00179983980753295","one -0.00161443057373345","clinical -0.00145287571364572","study -0.00113519081397973","patient -0.00111171949186439","will -0.00110450647790927","use -0.000857510596989353","dr -0.000839886765631737"
"3","test -0.0213894031113252","travel -0.0104386295099956","state -0.00655979723844347","kit -0.00436923602211414","warn -0.00368926548610504","will -0.00355599850547295","case -0.00288243376339548","novel -0.00258325285832661","can -0.00246581468651774","student -0.00236111198422473"
"4","travel -0.0170122325640676","case -0.0163549418945218","expert -0.00905705307711913","count -0.00402665452109163","pandemic -0.0039599144917164","cdc -0.00308054057295271","ryan -0.00227697602943944","warn -0.00221859172522521","wuhan -0.00221859172522521","world -0.00206793896559765"
"5","pandemic -0.0107754857540115","travel -0.0072842294913128","drug -0.0057753350290245","country -0.00324162527019567","chinese -0.00310549542451444","cdc -0.00294451132389206","close -0.00196212406808915","tedros -0.00149582252268887","outbreak -0.00144159837317948","fda -0.00131198428558821"
"6","test -0.0295878070845184","china -0.00802626410648788","travel -0.00329926318618212","chinese -0.00122549853650256","one -0.00109744039703319","expert -0.00104327630372936","numb -0.00089046951575189","trial -0.000824942372399384","ryan -0.000793329156789313","still -0.000774307645194594"
"7","us -0.00492552812207026","china -0.00361285764401731","get -0.0034722648763692","blood -0.00256467737679056","expert -0.00158554792804966","vaccine -0.00147404544394003","york -0.00111007960688791","fauci -0.00101077849616349","response -0.000885769608876319","day -0.000767420667558416"
"8","hospital -0.00670548170177399","medical -0.00468614547365709","disease -0.00447070264135063","trump -0.00259852007888894","control -0.00238033312689578","defense -0.0022168302954767","cdc -0.00200380160268088","ventilator -0.00195335163194676","president -0.00189346020320968","china -0.0017712805678084"
"9","ventilator -0.00681269478246616","york -0.00666108859532322","disease -0.00490261093133104","hospital -0.00472525417046965","new -0.0040681689736064","test -0.00327961285856826","trump -0.00230616753382462","outbreak -0.00225606955738111","us -0.00210333168549948","cuomo -0.00208531309159943"
"10","patient -0.00308805448906868","disease -0.0029298235154106","new -0.00221961353819022","york -0.00221357294402735","dr -0.00202265448248384","city -0.00200094209355983","virus -0.00172795371339474","fauci -0.00156285175012594","de -0.00144336783309407","blasio -0.00134820496391208"
"11","ventilator -0.00240092777060197","patient -0.00149035838283407","disease -0.00147675481833032","county -0.00132225120051854","fauci -0.00128652148397512","dr -0.00105026592972102","can -0.00099452483891338","health -0.000898840020784775","country -0.00069351735842571","city -0.000663896491268523"
"12","test -0.0345877401498259","president -0.00221156406669654","trump -0.00220563021992992","york -0.00175984320714995","vaccine -0.00167282389784618","bed -0.00161927312300458","company -0.00153959733910158","cuomo -0.00144711865461489","fda -0.00126652714743491","swab -0.00112540841331454"
"13","test -0.0525942171755838","york -0.00575585202086271","ventilator -0.00462539514772531","swab -0.00394247482992816","new -0.00246292064210107","trump -0.00210578326824051","kit -0.00175635776809813","bed -0.00123391898206626","city -0.00122207514015171","gov -0.00118451921914309"
"14","vaccine -0.0157632837592541","hospital -0.00769280430231523","new -0.0061859755494722","ventilator -0.00442106400595488","need -0.00430115199129588","trump -0.00312181335004147","york -0.00287651541133449","trial -0.00282558788107212","manufacture -0.00225906494270389","president -0.00213471873486792"
"15","vaccine -0.0122630947521708","patient -0.00315699080490883","trial -0.0031250080783799","ventilator -0.00292968997619392","nurse -0.00251305684944858","hospital -0.00240504906254668","protective -0.0017281601061846","need -0.00150424007483341","use -0.00146841064062408","help -0.00123414241491315"
"16","cuomo -0.00519297739327074","hospital -0.00483617541792958","equipment -0.00240388595247154","datum -0.00238181925074255","ventilator -0.0015398630714013","antigen -0.00131977969193642","back -0.00129895099806454","help -0.00117346049768663","day -0.00104940328130976","barda -0.00104228059234357"
"17","test -0.0109480823331715","state -0.00373908095504294","uk -0.00266338184799553","equipment -0.00230824131928098","develop -0.00226095875824472","trial -0.00212237723873376","patient -0.0021118263914961","global -0.00192053236147816","antibody -0.00168294442154782","early -0.00146592629612174"
"18","test -0.0254674412552929","company -0.0043439712478569","mask -0.00404195085742753","state -0.00289626021100498","benefit -0.00225250111181263","tobacco -0.00225250111181263","york -0.0021548353779971","industry -0.00208261793978481","cuomo -0.00178057079837213","monday -0.00157116803893909"
"19","test -0.0150670603741736","fauci -0.0108860619976422","mask -0.00400178629431935","cuomo -0.00356429093809651","york -0.00173287219860352","worker -0.00161736253483324","equipment -0.00145413870085631","director -0.00138392432718937","make -0.0013791101596573","dr -0.0013396017962114"
"20","antibody -0.00422560066525657","phase -0.00339740716124959","fauci -0.00336364126386246","result -0.00215689144247588","institute -0.00209373128902302","cuomo -0.00158307332284513","way -0.00152295035174455","china -0.00140715404447833","disease -0.00125153432556158","astrazeneca -0.00112679285706951"
"21","drug -0.0252917861105315","hydroxychloroquine -0.00989519616706847","fda -0.00677954729442676","authorization -0.00300434041447162","health -0.00233724593180107","treat -0.00182676353111144","world -0.00181241006858757","emergency -0.0017880433051215","people -0.00136399312676272","include -0.00135684828519711"
"22","patient -0.003356063681757","antibody -0.00254085027496442","will -0.00221489454787527","fund -0.00194154612446629","virus -0.00176640180295218","hospital -0.00153303254119963","control -0.00143420745330369","drug -0.00137426535323937","treatment -0.00136148922610346","remdesivir -0.00121415564953231"
"23","fauci -0.00518538450057004","remdesivir -0.00286388973104057","institute -0.0021536218756637","day -0.00203424346014014","patient -0.00196862244335261","hospital -0.00195343504849677","receive -0.00138684272101652","antibody -0.00118483801737934","giroir -0.00115760883481619","committee -0.00115064240858687"
"24","vaccine -0.0245944781914308","patient -0.0101579142043262","fauci -0.00212978023334098","spains -0.00148790822414746","remdesivir -0.00147022049594292","give -0.00128224919912301","agency -0.00120868046140232","antigen -0.00120458023974135","result -0.00116627213394416","average -0.0011254880366427"
"25","two -0.00571384990620927","capacity -0.00560634536052063","remdesivir -0.00547597506498054","china -0.00525918691343374","use -0.00509213276114384","drug -0.00484513619778482","team -0.00472144401376084","track -0.00314396628114932","advance -0.00243334895270275","already -0.00229572326942151"
"26","test -0.0201898953299851","drug -0.0103141230166279","vaccine -0.00936917415582061","remdesivir -0.00625215878561736","patient -0.00210818356925158","hospital -0.00177951172976465","astrazeneca -0.0017761740068909","health -0.00174899865670719","gate -0.00167377554013293","state -0.00153124789810777"
"27","test -0.00948833863009046","drug -0.00586521231192194","patient -0.00439174440499412","remdesivir -0.00348345033404041","company -0.00247869043466409","vaccine -0.00200880322392916","day -0.00164931434926463","covid -0.00142055319264478","hospital -0.00106761429620916","slaoui -0.00101240225976074"
"28","test -0.00543428221317588","phase -0.0023054348885313","purchase -0.00220273027840123","institute -0.00174635729295036","study -0.00171352464351959","federal -0.00168889152224649","patient -0.00155718588547504","general -0.00111304554705549","result -0.00107541717420179","government -0.00107339402856776"
"29","will -0.00653282529056043","russia -0.00622782469996463","russian -0.00589139485204893","company -0.00329511399021143","world -0.00210025543336112","hydroxychloroquine -0.00105273167955133","approve -0.000884995883010387","year -0.00087355192911609","covid -0.000778950779748211","pfizer -0.000766897554358104"
"30","treatment -0.00435101954331918","antibody -0.00382299242904982","australian -0.00209692226423086","study -0.00175369506989487","phase -0.00159833077525151","minority -0.00145462881792546","black -0.000930143583681264","lamp -0.000930143583681264","us -0.000815655457376274","hahn -0.0008055763145558"
"31","age -0.00346693301449941","tell -0.00336911421726627","us -0.00214665310681772","drug -0.00204778689087781","group -0.00156911597431819","covid -0.00133583735439968","mango -0.000767568369553606","first -0.000761790760833159","say -0.00074288772831177","moderna -0.00071314615268947"
"32","public -0.00223901809647475","get -0.00190620242412154","drug -0.00168985070590966","russian -0.00133713230062593","study -0.00126216051037853","accord -0.00108103627077039","treatment -0.00104984245521544","october -0.00102552392509592","distribute -0.001001243148671","antibody -0.00099377014789459"
"33","pause -0.00255889763886985","end -0.00219483688528299","government -0.00195650524660096","trump -0.00171311843955524","date -0.00140598960474725","russia -0.00133209027292802","people -0.00128000694179897","test -0.00113400618320691","russian -0.000984943880812383","election -0.000893301426299398"
"34","trial -0.00418975445768865","dos -0.0026202794671496","supply -0.0015468256026917","coronavirus -0.00123584891748496","dr -0.00102614631453957","billion -0.00102139647266175","oxfam -0.000848830286020674","india -0.000761635878228639","johnson -0.000648676130436288","phase -0.000636015600729678"
"35","fda -0.00349197352038244","johnson -0.00327670572306549","participant -0.00319201074480169","health -0.00234490707674029","dos -0.0021170905927258","authorization -0.00191504881143523","first -0.00152986076619599","source -0.00147856955024617","dr -0.00146032584231892","coronavirus -0.00127012257784065"
"36","fda -0.0110409569711567","hahn -0.00503855284241628","decision -0.00394023056824555","drug -0.00367434852500703","food -0.00245321319928526","coronavirus -0.00225424965985566","hold -0.00163524405969051","commissioner -0.00154587016248331","get -0.0014942742229983","letter -0.0014372709437237"
"37","use -0.0153498807971243","emergency -0.0125749845388562","authorization -0.00925456441817052","antibody -0.00729854669640218","treatment -0.00250165673356362","regeneron -0.00194416761498473","phase -0.00179538317858419","trial -0.00174246161955927","want -0.0016687475489624","monoclonal -0.00157371610941526"
"38","pause -0.00781308202056386","coronavirus -0.00271938402314342","dos -0.00269239156689216","johnson -0.00232090069416291","friday -0.00201250739458847","drugmaker -0.00111381317643455","illness -0.00102187807399001","call -0.00101258758947764","website -0.000906829782402752","doggett -0.000817906594295148"
