"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","ability 0","abroad 0","access 0","accord 0","account 0","across 0","activate 0","actively 0","add 0","additional 0","address 0","adhanom 0","administration 0","administrative 0","admit 0","advice 0","advise 0","adviser 0","advisory 0","affair 0","affect 0","affiliate 0","african 0","afternoon 0","age 0","agency 0","ago 0","ahead 0","aid 0","aim 0"
"2","ship -0.0435552097611671","cruise -0.0253615165952926","passenger -0.0163342901403112","board -0.00942348365156875","mask -0.0074357147993046","student -0.00696792914579936","strike -0.00544857578863078","school -0.00539454588284083","member -0.0052498263429821","day -0.00486379263163861","hospital -0.00486379263163861","face -0.0041204464935336","crow -0.00396512907592561","dock -0.00316043605540417","university -0.00303546391612863","princess -0.00301068052484288","test -0.00206584727968562","japan -0.00150094113412158","health -0.00139887913108039","people -0.00130044438218091","staff -0.00130044438218091","remain -0.00120563191193257","diamond -0.00102685483941389","guest -0.000942881218149338","new -0.000942881218149338","yokohama -0.000942881218149338","three -0.00078574264648712","now -0.000642989572470332","macao -0.000612223628469466","pharmacy -0.000579164816161715"
"3","hong -0.0355560138222625","kong -0.0242940322060115","border -0.00429473920952794","westerdam -0.00288295925466908","student -0.00261410327258482","mask -0.00236072599885107","lam -0.00224234447803839","strike -0.0021394348692082","test -0.00210063745026057","china -0.00200503613294167","diamond -0.00192088486924824","people -0.0018810563501892","case -0.0018410780798126","japanese -0.00144083416625884","university -0.00142984598305285","school -0.00136680485203333","positive -0.00130171643628141","mainland -0.00126881392602285","face -0.00118628275993482","spread -0.000965612866048904","kongs -0.000908654199976544","public -0.000874776863072135","demand -0.000863840919214987","confirm -0.000849345407340385","resident -0.000785396143563988","union -0.000738683397994988","four -0.000562985050491793","holland -0.000534677834994279","carrie -0.000526474820455314","stick -0.000479816315979709"
"4","hong -0.0457887010579412","kong -0.029394561040321","china -0.00322973150938244","border -0.00322539475122796","princess -0.0032208281754339","mainland -0.00225266559095127","diamond -0.00173368288025422","lam -0.00146186966941497","student -0.00145030055910567","novel -0.0012851543470781","us -0.00128297331497373","mask -0.00107796393908022","member -0.00105754496923149","westerdam -0.00101835926816751","kongs -0.000993723684373671","malaysia -0.000925853108238783","ministry -0.000899590769829151","citizen -0.000877915647200966","cambodia -0.00081897602902592","flight -0.000801646000786471","negative -0.000745248284719446","public -0.000685404076999463","school -0.000684477069746059","leave -0.000633357610601459","university -0.000627003993572406","measure -0.000587917788078207","close -0.000564603345675763","union -0.000537599762249763","spread -0.000483824667728117","medical -0.000483127301932118"
"5","hong -0.0207616524283619","kong -0.0118546171658173","board -0.00397528847795625","diamond -0.00297878798099471","princess -0.00242366297015473","mainland -0.00186870764045544","border -0.00154625971859945","china -0.0014677488444842","westerdam -0.0014053579516532","friday -0.00126948357500334","lam -0.00119307077847985","member -0.0011561997532461","ministry -0.00100406729501945","japan -0.00097753795434441","student -0.000845544051246483","additional -0.000777497503052116","die -0.000777497503052116","strike -0.000713051918443841","medical -0.000688895924563671","american -0.000629585120427434","mask -0.000618922479773132","hospital -0.00061040373331589","saturday -0.00059924647891374","kongs -0.000579598013363047","novel -0.000565587875876128","increase -0.000487530223841515","infection -0.000475781855420743","british -0.000466982976933372","may -0.000454860916301647","university -0.00043649829592407"
"6","case -0.0321214802681296","state -0.0212635316333889","cdc -0.0106918939150128","hong -0.00945476290328595","kong -0.00752115504551665","us -0.0063926434892696","board -0.00532936953012064","california -0.00323162789520692","dock -0.002801450124988","unite -0.00206836887510875","lab -0.00194752660318476","passenger -0.00167905295297932","prevention -0.00151570625507857","presumptive -0.00148939406295856","westerdam -0.00142886511882756","yokohama -0.00138712575650135","accord -0.00137542779318034","center -0.00132738599198712","public -0.00131328939362163","disease -0.00124234200130147","pend -0.00109318085324361","repatriate -0.000972325981254407","disembark -0.000919499070937135","san -0.00088502214428432","mainland -0.000874527222826438","hospital -0.000852465999668039","confirmation -0.000820548485131245","day -0.000816226030315947","control -0.000805993149217255","port -0.00078797998739899"
"7","state -0.011327970022367","passenger -0.00656638467617054","diamond -0.00517480623333855","grand -0.00375669869651851","japanese -0.00277283857843902","japan -0.00270744822846447","quarantine -0.0024377773667138","westerdam -0.00189739502696662","hong -0.00185988215855148","yokohama -0.00166719402129911","virus -0.0015784324060466","kong -0.00150553528175801","board -0.00133689910114332","accord -0.00132511935391399","cdc -0.00125066475766888","us -0.00124732982218478","unite -0.00119039010564237","california -0.00103760744525183","february -0.00100772206665345","prevention -0.000887998525269329","leave -0.00080009441092177","day -0.000635412459291218","control -0.000628116561553815","allow -0.000625545666833927","coast -0.000614855514359136","public -0.00060811762388957","district -0.000598385867551232","columbia -0.000598385867551232","oakland -0.000598385867551232","agency -0.00055011772088609"
"8","princess -0.0165244350166714","cruise -0.00840121909603631","diamond -0.00568851491352906","quarantine -0.0026026919861365","passenger -0.00258723069109412","ship -0.00255400773474634","japan -0.00227313595149303","agency -0.0022221766791356","state -0.00199218375833421","territory -0.00149360501806539","less -0.00124969512344453","virus -0.00104252806289895","japanese -0.000894131950416543","result -0.000731739907470552","positive -0.000673583406371359","west -0.000637325952828283","ministry -0.000586978622321266","westerdam -0.000529693320047264","district -0.000521504762078795","virginia -0.000518608435760459","include -0.000484456151229939","yokohama -0.000407680276252376","lab -0.000376400368306107","american -0.000344861913462058","pend -0.000325522092309738","grand -0.000321998813620383","march -0.000286647383469285","negative -0.000282768565953662","confirmation -0.000282768565953662","healths -0.000278310859911812"
"9","cruise -0.0121495981952024","princess -0.012019962577395","ship -0.0108600410466596","cdc -0.00676002611059123","less -0.00628575786685026","passenger -0.0039657281596126","diamond -0.00251596282548816","positive -0.001859293148463","quarantine -0.00171684157642105","california -0.00157786108145419","control -0.0014852268119564","local -0.00143004116489698","prevention -0.00133110124624702","grand -0.00122015728007863","health -0.00121502417381703","territory -0.00120817546253671","government -0.00116924143886832","death -0.00114943883576568","disease -0.00114650896771895","citizen -0.00110218115767624","cnn -0.00101759559886394","report -0.000957246745324936","presumptive -0.000940459895600321","confirm -0.000862440542334308","population -0.000836752740292823","center -0.000830452275510374","good -0.000693951841945872","tally -0.00064058456022309","lab -0.000634277417376206","department -0.000609558421861278"
"10","death -0.0110347433845549","report -0.00830522550617485","princess -0.00672983771368563","cruise -0.00560746118349942","cdc -0.00418851853403424","positive -0.00268335642107431","california -0.00173274829397629","control -0.00171837798033669","center -0.00167638873496112","prevention -0.00159233142471826","wyoming -0.00154317580722074","zaandam -0.00144497138464561","disease -0.00139442303882975","government -0.00108253218939414","grand -0.00107316193404727","count -0.000988142026326688","less -0.000865286185924408","diamond -0.000850582252127308","local -0.000821088644612389","sailor -0.000809580686754741","johns -0.000776156198921019","citizen -0.000700769380514887","compile -0.000688917292038238","hopkins -0.000685973374324078","lab -0.000664054105060652","presumptive -0.000639222660605343","confirm -0.000628677532190758","date -0.000627083057174849","bring -0.000596854751447662","check -0.000583718008565048"
